time,precipitation,temperature,irradiance_surface,irradiance_toa,snowfall,snow_mass,cloud_cover,air_density,generation solar,generation wind onshore
2015-01-01 00:00:00,0.0002,3.438,0.0,0.0,0.0,0.0402,0.1066,1.2187,49.0,6378.0
2015-01-01 01:00:00,0.0003,3.217,0.0,0.0,0.0,0.0402,0.1254,1.2196,50.0,5890.0
2015-01-01 02:00:00,0.0004,3.103,0.0,0.0,0.0,0.0402,0.121,1.2203,50.0,5461.0
2015-01-01 03:00:00,0.0004,3.051,0.0,0.0,0.0,0.0402,0.095,1.2211,50.0,5238.0
2015-01-01 04:00:00,0.0003,2.982,0.0,0.0,0.0,0.0402,0.083,1.2219,42.0,4935.0
2015-01-01 05:00:00,0.0002,2.923,0.0,0.0,0.0,0.0402,0.0801,1.2227,34.0,4618.0
2015-01-01 06:00:00,0.0002,2.908,0.0,0.0,0.0,0.0402,0.0859,1.2235,34.0,4397.0
2015-01-01 07:00:00,0.0002,2.978,10.4819,25.1721,0.0,0.0402,0.0797,1.2244,35.0,3992.0
2015-01-01 08:00:00,0.0001,4.702,119.2671,204.3014,0.0,0.0402,0.0734,1.2247,54.0,3629.0
2015-01-01 09:00:00,0.0001,7.097,267.0815,396.6611,0.0,0.0399,0.0543,1.2231,743.0,3073.0
2015-01-01 10:00:00,0.0001,8.89,389.1577,538.0546,0.0,0.0392,0.0359,1.2185,2019.0,2683.0
2015-01-01 11:00:00,0.0,10.413,461.105,618.7199,0.0,0.038,0.0372,1.2124,3197.0,2771.0
2015-01-01 12:00:00,0.0001,11.503,473.7654,633.1801,0.0,0.0364,0.042,1.207,3885.0,2906.0
2015-01-01 13:00:00,0.0,11.963,427.6067,580.4995,0.0,0.0349,0.0513,1.2038,4007.0,2923.0
2015-01-01 14:00:00,0.0,11.851,327.1402,464.2368,0.0,0.034,0.0645,1.2025,3973.0,2945.0
2015-01-01 15:00:00,0.0,10.65,184.8461,292.2934,0.0,0.0337,0.0797,1.2028,3818.0,2709.0
2015-01-01 16:00:00,0.0,8.569,44.9099,89.45,0.0,0.0336,0.1044,1.2043,3088.0,2552.0
2015-01-01 17:00:00,0.0,7.394,2.5125,7.8168,0.0,0.0336,0.1246,1.2067,1467.0,2699.0
2015-01-01 18:00:00,0.0001,6.851,0.0378,0.2073,0.0,0.0336,0.1587,1.2091,404.0,2764.0
2015-01-01 19:00:00,0.0003,6.37,0.0,0.0,0.0,0.0336,0.183,1.211,139.0,2913.0
2015-01-01 20:00:00,0.0008,5.872,0.0,0.0,0.0,0.0336,0.1924,1.2126,100.0,3118.0
2015-01-01 21:00:00,0.0016,5.473,0.0,0.0,0.0,0.0336,0.1875,1.214,75.0,3373.0
2015-01-01 22:00:00,0.0018,5.125,0.0,0.0,0.0,0.0336,0.2119,1.2152,74.0,3508.0
2015-01-01 23:00:00,0.0027,4.878,0.0,0.0,0.0,0.0336,0.2984,1.2159,56.0,3527.0
2015-01-02 00:00:00,0.0031,4.737,0.0,0.0,0.0,0.0336,0.3157,1.2163,54.0,13232.0
2015-01-02 01:00:00,0.0024,4.594,0.0,0.0,0.0,0.0336,0.2146,1.2168,54.0,12760.0
2015-01-02 02:00:00,0.0034,4.491,0.0,0.0,0.0,0.0336,0.1884,1.2174,54.0,12174.0
2015-01-02 03:00:00,0.0012,4.337,0.0,0.0,0.0,0.0337,0.1686,1.2182,53.0,11358.0
2015-01-02 04:00:00,0.0018,4.106,0.0,0.0,0.0,0.0337,0.1385,1.219,53.0,11199.0
2015-01-02 05:00:00,0.0011,3.97,0.0,0.0,0.0,0.0337,0.1455,1.2198,63.0,11152.0
2015-01-02 06:00:00,0.0005,3.928,0.0,0.0,0.0,0.0337,0.173,1.2207,55.0,11169.0
2015-01-02 07:00:00,0.0001,4.013,11.3589,25.7477,0.0,0.0337,0.2063,1.2215,54.0,11205.0
2015-01-02 08:00:00,0.003,5.688,117.9877,205.802,0.0,0.0336,0.2394,1.2217,116.0,10920.0
2015-01-02 09:00:00,0.014,8.198,255.1349,398.2793,0.0,0.0334,0.2813,1.2199,1039.0,10491.0
2015-01-02 10:00:00,0.0137,10.099,362.7132,539.7723,0.0,0.0327,0.3954,1.2152,2373.0,10156.0
2015-01-02 11:00:00,0.0033,11.7,420.544,620.5091,0.0,0.0309,0.5545,1.2089,3699.0,10421.0
2015-01-02 12:00:00,0.0007,12.832,422.2305,635.0013,0.0,0.0281,0.6231,1.2032,4154.0,11230.0
2015-01-02 13:00:00,0.0003,13.3,370.4968,582.2953,0.0,0.0263,0.6663,1.1998,4074.0,11920.0
2015-01-02 14:00:00,0.0,13.015,274.3618,465.9444,0.0,0.0253,0.693,1.1986,3851.0,11819.0
2015-01-02 15:00:00,0.0,11.638,150.3724,293.897,0.0,0.0251,0.7064,1.199,3619.0,11961.0
2015-01-02 16:00:00,0.0,9.687,36.9728,90.5732,0.0,0.0251,0.714,1.2005,3024.0,12025.0
2015-01-02 17:00:00,0.0,8.59,2.311,7.8894,0.0,0.0251,0.7094,1.2026,2053.0,12077.0
2015-01-02 18:00:00,0.0,8.133,0.0394,0.2149,0.0,0.0251,0.6779,1.2045,769.0,11276.0
2015-01-02 19:00:00,0.0,7.716,0.0,0.0,0.0,0.0251,0.6368,1.206,266.0,10510.0
2015-01-02 20:00:00,0.0,7.338,0.0,0.0,0.0,0.025,0.5715,1.207,165.0,10406.0
2015-01-02 21:00:00,0.0,6.976,0.0,0.0,0.0,0.025,0.4787,1.2079,137.0,10445.0
2015-01-02 22:00:00,0.0,6.617,0.0,0.0,0.0,0.025,0.3638,1.2088,137.0,9976.0
2015-01-02 23:00:00,0.0,6.335,0.0,0.0,0.0,0.025,0.2685,1.2095,137.0,9527.0
2015-01-03 00:00:00,0.0001,6.112,0.0,0.0,0.0,0.025,0.1771,1.2101,62.0,9264.0
2015-01-03 01:00:00,0.0001,5.932,0.0,0.0,0.0,0.025,0.1333,1.2107,62.0,9135.0
2015-01-03 02:00:00,0.0001,5.823,0.0,0.0,0.0,0.025,0.1354,1.2114,61.0,9362.0
2015-01-03 03:00:00,0.0001,5.707,0.0,0.0,0.0,0.025,0.145,1.2121,61.0,9628.0
2015-01-03 04:00:00,0.0001,5.583,0.0,0.0,0.0,0.025,0.162,1.2126,61.0,9607.0
2015-01-03 05:00:00,0.0001,5.479,0.0,0.0,0.0,0.025,0.2,1.2131,61.0,9666.0
2015-01-03 06:00:00,0.0001,5.475,0.0,0.0,0.0,0.025,0.2955,1.2137,61.0,9743.0
2015-01-03 07:00:00,0.0001,5.633,11.5076,26.3884,0.0,0.025,0.3756,1.2143,63.0,9401.0
2015-01-03 08:00:00,0.0001,7.23,119.8818,207.4311,0.0,0.025,0.3629,1.2143,233.0,8363.0
2015-01-03 09:00:00,0.0001,9.732,264.4102,400.0553,0.0,0.0245,0.2965,1.2126,820.0,7924.0
2015-01-03 10:00:00,0.0001,11.6,384.6384,541.6192,0.0,0.0228,0.2466,1.2083,1665.0,7592.0
2015-01-03 11:00:00,0.0001,13.253,454.6247,622.4315,0.0,0.0206,0.2723,1.2014,2488.0,7874.0
